name,asymmetry,diameter,red,green,blue,contrast,correlation,energy,homogeneity
ISIC_0024306,0,3.2,32.2184,11.1901,11.2197,217.4775,0.9225,0.7996,0.8398
ISIC_0024307,0,3.16,33.8133,14.8976,14.9115,326.9314,0.9216,0.8179,0.8613
ISIC_0024308,1,5.14,44.8901,15.4548,13.7471,206.6439,0.9355,0.706,0.7675
ISIC_0024309,0,3.74,31.7376,11.8236,15.4743,180.6695,0.9363,0.7969,0.8481
ISIC_0024310,0,3.64,20.8131,10.6073,9.2016,237.0232,0.9038,0.8548,0.8743
ISIC_0024311,1,4.24,45.9273,19.4384,18.5038,270.0912,0.9479,0.7642,0.8164
ISIC_0024312,0,4.2,48.3557,33.6634,38.9265,771.1547,0.9088,0.7177,0.7787
ISIC_0024313,0,1.88,6.6313,2.3602,2.1302,77.5426,0.875,0.951,0.9591
ISIC_0024314,0,1.66,5.4886,3.4713,2.9606,102.722,0.888,0.9606,0.9663
ISIC_0024315,0,1.92,6.1817,3.6649,4.1391,62.6564,0.9035,0.9353,0.9456
ISIC_0024316,0,4.2,69.3015,28.0613,24.3853,317.0633,0.948,0.6404,0.7325
ISIC_0024317,0,3.92,42.2207,23.2311,17.868,263.9838,0.938,0.6991,0.7596
ISIC_0024318,0,3.76,51.9045,33.0257,31.6926,372.9758,0.9483,0.6936,0.7629
ISIC_0024319,0,2.72,16.0819,9.616,7.6276,129.9079,0.9131,0.8356,0.865
ISIC_0024320,0,3.78,37.8103,11.653,13.112,155.996,0.9325,0.7306,0.7874
ISIC_0024321,1,2.82,26.9057,12.6021,12.0258,248.2321,0.9334,0.859,0.9045
ISIC_0024322,0,0.12,37.4889,17.5552,21.2064,606.4649,0.8761,0.7902,0.8424
ISIC_0024323,0,4.16,37.6737,22.0172,20.1688,251.1004,0.9407,0.7349,0.7865
ISIC_0024324,0,2.52,13.3864,10.0167,9.2651,188.7219,0.9246,0.9056,0.9269
ISIC_0024325,0,3.84,45.0916,17.0244,14.9081,259.3128,0.9387,0.7537,0.8099
ISIC_0024326,0,1.66,8.4779,2.3192,2.491,51.6812,0.9125,0.9376,0.9486
ISIC_0024327,0,3.14,36.7625,13.9876,14.2191,186.4108,0.9401,0.7674,0.8083
ISIC_0024328,0,4.68,67.3758,42.3179,27.8931,489.3128,0.9449,0.6382,0.6992
ISIC_0024329,0,5.56,69.1399,55.8042,51.9861,551.3536,0.9547,0.6195,0.7325
ISIC_0024330,0,3.74,41.385,26.3877,32.8315,224.1998,0.9629,0.7417,0.8188
ISIC_0024331,0,3.9,47.8582,32.7701,32.3077,535.5124,0.9402,0.75,0.8214
ISIC_0024332,1,3.96,49.603,30.0354,31.6708,440.5366,0.9448,0.7405,0.7952
ISIC_0024333,0,3.92,34.7698,24.0211,24.4053,259.67,0.9366,0.7139,0.7635
ISIC_0024334,0,3.8,45.1355,16.8803,15.1571,246.7585,0.937,0.7396,0.8013
ISIC_0024335,1,1.28,5.3776,2.0363,1.8217,64.9976,0.8729,0.9603,0.9646
ISIC_0024336,1,2.92,23.5217,16.8008,17.5954,228.1963,0.9423,0.8363,0.8705
ISIC_0024337,0,0.76,36.0636,24.5653,23.6692,507.1049,0.9322,0.8175,0.906
ISIC_0024338,0,4.72,20.1832,15.9093,16.2161,310.7066,0.9258,0.8688,0.9089
ISIC_0024339,0,2.36,10.7385,3.5307,3.7073,88.3661,0.8963,0.9174,0.9329
ISIC_0024340,1,3.0,18.8131,14.6688,14.9596,181.9641,0.9425,0.8525,0.8795
ISIC_0024341,0,3.0,25.5697,8.7348,9.6729,153.5983,0.9264,0.8313,0.8664
ISIC_0024342,0,3.84,39.9208,20.6756,23.7698,402.9294,0.924,0.7712,0.8129
ISIC_0024343,0,3.72,44.1959,26.272,18.7397,338.0758,0.9364,0.7206,0.7643
ISIC_0024344,0,1.3,4.6513,2.6987,2.2188,71.9444,0.8934,0.9667,0.9708
ISIC_0024345,1,6.44,61.2784,41.7647,39.1666,1067.3476,0.89,0.6589,0.7638
ISIC_0024346,0,2.7,29.0592,13.7654,12.9984,255.3274,0.9417,0.859,0.8869
ISIC_0024347,0,2.4,14.3817,4.808,5.8525,91.724,0.8987,0.8581,0.8896
ISIC_0024348,0,3.36,35.891,16.185,13.2096,217.4557,0.9471,0.803,0.8576
ISIC_0024349,0,4.48,34.9721,16.7367,19.4163,143.4913,0.9362,0.6554,0.7283
ISIC_0024350,1,1.96,17.3668,7.1111,7.2498,133.2083,0.9366,0.9031,0.9225
ISIC_0024351,0,4.44,66.2843,32.787,27.9425,350.3312,0.9486,0.6371,0.7292
ISIC_0024352,0,1.56,5.3089,2.0737,1.4206,50.8653,0.8597,0.9429,0.952
ISIC_0024353,0,2.76,20.2315,6.9879,6.4142,155.9469,0.9154,0.8736,0.8961
ISIC_0024354,0,5.08,61.0225,35.1698,36.6326,412.2207,0.9614,0.732,0.8326
ISIC_0024355,0,2.24,8.6641,5.1625,4.8151,121.652,0.8706,0.9065,0.9158
ISIC_0024356,0,3.02,22.8109,16.4428,13.0278,302.7267,0.933,0.8655,0.8965
ISIC_0024357,1,4.32,48.3418,26.7767,23.3857,454.8671,0.9385,0.7605,0.8266
ISIC_0024358,0,2.9,24.9064,16.3018,15.0256,270.5042,0.9426,0.8592,0.8836
ISIC_0024359,0,0.34,35.4517,10.207,10.6878,178.8592,0.9155,0.7429,0.7933
ISIC_0024360,0,2.34,4.1113,2.8988,2.9237,99.311,0.7937,0.9487,0.9547
ISIC_0024361,0,4.96,38.2958,24.5975,20.5196,324.1986,0.9167,0.6691,0.7256
ISIC_0024362,0,3.64,44.5075,13.6545,13.8488,205.1118,0.9338,0.7268,0.7811
ISIC_0024363,0,4.76,15.6345,14.2174,17.546,204.9677,0.9327,0.8627,0.8948
ISIC_0024364,0,1.96,14.0736,5.2244,4.8343,101.9743,0.9263,0.9115,0.9283
ISIC_0024365,1,5.18,75.3983,27.782,25.2024,310.0992,0.9396,0.5759,0.684
ISIC_0024366,0,2.3,16.0969,9.3125,7.4283,200.3998,0.913,0.8916,0.9044
ISIC_0024367,0,2.6,10.4088,7.6351,7.6738,135.4459,0.9347,0.9312,0.9449
ISIC_0024368,1,3.48,40.1141,15.5816,14.3992,171.9192,0.9451,0.7344,0.8033
ISIC_0024369,0,3.58,28.4505,13.9379,13.7248,232.167,0.9292,0.8176,0.8605
ISIC_0024370,0,3.18,35.1496,12.4907,23.1501,136.5372,0.9561,0.7746,0.8283
ISIC_0024371,0,3.94,41.0457,29.4387,22.97,371.9217,0.9435,0.7472,0.8155
ISIC_0024372,0,3.84,42.57,25.7005,27.2278,487.3024,0.9264,0.7577,0.7996
ISIC_0024373,0,2.66,14.9813,6.1343,6.1596,128.9119,0.9288,0.9145,0.93
ISIC_0024374,0,3.28,39.9131,22.396,21.352,352.1538,0.9372,0.7744,0.816
ISIC_0024375,0,5.14,35.4574,25.3132,25.7184,575.7027,0.927,0.8207,0.9073
ISIC_0024376,0,2.04,14.9317,6.4337,6.2491,131.4245,0.9294,0.9146,0.9348
ISIC_0024377,1,1.74,8.5144,4.826,3.6006,110.7961,0.9058,0.9394,0.9479
ISIC_0024378,1,3.16,13.3741,10.0163,11.6397,121.5925,0.944,0.8874,0.9191
ISIC_0024379,0,0.06,29.9037,18.8549,20.3635,377.2237,0.9429,0.8606,0.89
ISIC_0024380,0,2.44,17.6849,11.2897,10.6469,184.7053,0.9439,0.8988,0.9177
ISIC_0024381,0,3.38,20.6669,14.2042,15.2804,166.4776,0.9299,0.8002,0.8329
ISIC_0024382,0,4.2,39.9489,25.3155,26.809,487.2203,0.9234,0.7647,0.8123
ISIC_0024383,0,3.34,45.8332,24.0398,25.1169,299.9752,0.9462,0.7328,0.8043
ISIC_0024384,0,2.12,12.8289,5.3732,4.9227,96.707,0.9342,0.9223,0.9411
ISIC_0024385,0,3.26,32.6336,18.9178,19.7908,327.3795,0.9458,0.8407,0.8918
ISIC_0024386,2,7.4,197.6708,123.5078,155.2371,429.7424,0.8453,0.0553,0.3158
ISIC_0024387,1,0.06,4.7022,3.4591,2.7911,66.6752,0.912,0.9596,0.968
ISIC_0024388,2,6.2,124.2833,56.7353,55.3869,468.5723,0.9453,0.4041,0.606
ISIC_0024389,0,1.32,5.2154,1.7024,2.4724,52.5181,0.8932,0.9639,0.9705
ISIC_0024390,0,3.92,55.9905,20.4085,16.5512,281.4509,0.938,0.6883,0.7517
ISIC_0024391,1,4.56,54.3748,24.6533,26.6077,324.6061,0.9498,0.7268,0.8035
ISIC_0024392,0,3.28,37.8087,13.8517,11.7469,208.3082,0.9302,0.7525,0.8032
ISIC_0024393,0,1.76,6.634,1.9737,2.298,65.3289,0.8511,0.9391,0.9485
ISIC_0024394,0,4.9,66.1013,39.9565,33.3685,355.0913,0.9474,0.5846,0.6638
ISIC_0024395,0,4.24,79.2033,40.9433,46.734,517.8246,0.9489,0.6279,0.7405
ISIC_0024396,0,1.68,11.8954,7.6932,8.2965,148.4437,0.9376,0.9314,0.9426
